hhno	visgpno	sex	age	occ	soc	dact	nbalvis
110763	5	2	0	9995		0	17
110763	6	1	0	9995		0	4
110764	2	1	0	9995		0	4
110765	3	1	0	9995		0	2
110765	4	2	0	9995		0	2
110767	5	2	1	9985		0	30
110767	6	1	1	9995		0	12
110768	4	2	0	9995		0	12
110768	5	1	0	9985		0	2
110772	5	2	0	9995		0	6
110772	6	1	1	9985		0	2
110772	7	1	0	9995		0	2
110772	8	2	1	9985		0	2
110773	7	2	0	9995		0	10
110773	8	1	0	9985		0	10
110774	6	2	0	9995		0	33
110775	4	1	0	9995		0	5
110775	5	2	0	9995		0	10
110777	3	2	1	9985		0	8
110779	5	1	0	9995		0	8
110779	6	2	0	9995		0	32
110781	3	2	0	9995		0	4
110782	6	1	0	9995		0	25
110786	3	1	0	9995		0	8
110787	3	2	0	9995		0	4
110788	3	2	0	9995		0	4
110790	6	1	0	9995		0	7
110790	7	1	1	9985		0	12
110790	8	1	1	9985		0	4
110790	9	1	1	9985		0	4
110790	10	2	1	9985		0	4
110790	11	2	1	9985		0	4
110790	12	1	1	9985		0	10
110791	4	2	0	9995		0	4
110793	4	2	1	9995		0	4
110796	4	1	0	9995		0	15
110796	5	2	0	9995		0	8
110796	6	2	1	9985		0	4
110796	7	1	1	9985		0	4
110797	5	1	0	9995		0	2
110797	6	2	0	9995		0	2
110798	6	2	0	9995		0	45
110798	7	1	1	9985		0	35
110798	8	2	1	9985		0	9
110800	3	2	0	9995		0	18
110800	4	1	0	9995		0	9
110801	4	1	0	9995		0	24
110801	5	2	0	9995		0	10
110802	3	1	1	9985		0	41
110802	4	2	0	9995		0	9
110802	5	1	0	9995		0	9
110805	2	2	0	9995		0	5
110806	3	1	0	9995		0	18
110806	4	2	0	9995		0	20
110807	3	2	1	9995		0	10
110808	3	1	0	9995		0	5
110808	4	2	0	9995		0	5
110809	5	1	0	9995		0	25
110809	6	2	0	9995		0	10
110811	3	2	0	9995		0	34
110816	4	2	0	9995		0	10
110818	5	2	0	9995		0	5
110818	6	1	0	9995		0	5
110818	7	2	1	9985		0	5
110820	3	2	0	9995		0	20
110821	5	2	0	9995		0	10
110823	4	2	0	9995		0	12
110823	5	2	1	9985		0	12
110824	5	2	0	9995		0	4
110824	6	1	1	9985		0	4
110824	7	1	0	9995		0	7
110826	6	2	0	9995		0	6
110826	7	2	1	9985		0	4
110826	8	1	1	9985		0	4
110826	9	1	1	9985		0	6
110826	10	1	1	9985		0	2
110828	3	1	1	9995		0	5
110829	4	2	0	9995		0	5
110829	5	1	0	9995		0	5
110831	4	1	1	9985		0	5
110832	4	1	0	9995		0	17
110832	5	2	0	9995		0	12
110833	4	2	0	9995		0	9
110837	4	1	0	9995		0	5
110838	4	2	0	9995		0	2
110839	5	2	0	9995		0	4
110847	5	2	0	9995		0	4
110848	2	2	0	9995		0	2
110850	2	2	0	9995		0	8
110852	2	1	0	9995		0	11
110853	3	1	0	9995		0	2
110853	4	2	0	9995		0	5
110854	2	1	0	9995		0	35
110854	3	2	0	9995		0	35
110855	3	1	1	9985		0	5
110857	4	2	0	9995		0	4
110857	5	1	0	9995		0	9
110860	4	1	0	9995		0	5
110860	5	2	0	9995		0	5
110861	2	1	0	9995		0	13
110861	3	2	0	9995		0	15
110862	6	2	1	9995		0	28
110868	3	2	0	9995		0	10
110868	4	1	0	9995		0	2
110868	5	2	1	9985		0	2
110868	6	1	1	9985		0	2
110869	4	2	0	9995		0	11
110869	5	1	1	9985		0	4
110869	6	1	0	9995		0	11
110870	4	2	0	9995		0	12
110870	5	1	0	9995		0	30
110872	4	1	0	9995		0	5
110873	2	2	0	9995		0	62
110874	5	2	0	9995		0	5
110874	6	1	0	9995		0	5
110875	3	2	0	9995		0	5
110875	4	1	0	9995		0	5
110877	4	2	0	9995		0	20
110877	5	2	1	9985		0	5
110878	3	2	1	9985		0	51
110878	4	2	1	9985		0	51
110878	5	1	1	9985		0	55
110878	6	2	0	9995		0	14
110878	7	1	0	9995		0	4
110878	8	1	1	9985		0	2
110878	9	2	1	9985		0	2
110882	3	1	0	9995		0	18
110882	4	2	0	9995		0	22
110882	5	1	1	9995		0	10
110883	4	2	1	9985		0	10
110887	7	2	1	9985		0	4
